id,title,url,source,published_at,snippet,text,canonical_url,domain,normalized_title,dedup_text,source_quality,content_length,allow_hits,deny_hits,relevance,noise_reason,is_candidate,detected_category
rss-techcrunch-fintech-1,"Apple’s new CEO, and why Elon Musk wants to buy Cursor for $60B",https://techcrunch.com/podcast/apples-new-ceo-and-why-elon-musk-wants-to-buy-cursor-for-60b/,TechCrunch Fintech,2026-04-24,"A new era is on the way for Apple as Tim Cook plans to step down from his CEO role in September,&#160;handing the reins to hardware chief John Ternus.&#160;&#160; Ternus may be inheriting one of the most durable businesses in tech, but&#160;he’s&#160;also stepping into&#160;a very different&#160;ecosystem than the one Cook spent decades shaping. The App [&#8230;]","A new era is on the way for Apple as Tim Cook plans to step down from his CEO role in September,&#160;handing the reins to hardware chief John Ternus.&#160;&#160; Ternus may be inheriting one of the most durable businesses in tech, but&#160;he’s&#160;also stepping into&#160;a very different&#160;ecosystem than the one Cook spent decades shaping. The App [&#8230;]",https://techcrunch.com/podcast/apples-new-ceo-and-why-elon-musk-wants-to-buy-cursor-for-60b,techcrunch.com,apple s new ceo why elon musk wants buy cursor 60b,apple s new ceo why elon musk wants buy cursor 60b new era is way apple as tim cook plans step down from his ceo role september 160 handing reins hardware chief john ternus 160 160 ternus may be inheriting one most durable businesses tech but 160 he s 160 also stepping into 160 very different 160 ecosystem than one cook spent decades shaping app 8230,0.55,731,[],[],1.55,,True,UX
rss-techcrunch-fintech-2,Tim Cook is stepping down. What happens to Apple now?,https://techcrunch.com/video/tim-cook-is-stepping-down-what-happens-to-apple-now/,TechCrunch Fintech,2026-04-24,"Tim Cook plans to step down from his CEO role in September, handing the reins to hardware chief John Ternus. Ternus may be inheriting one of the most durable businesses in tech, but&#160;he’s&#160;also stepping into&#160;a very different&#160;ecosystemthan the one Cook spent decades shaping. The App Store’s 30% cut is under pressure, the behind-the-scenes power Apple once [&#8230;]","Tim Cook plans to step down from his CEO role in September, handing the reins to hardware chief John Ternus. Ternus may be inheriting one of the most durable businesses in tech, but&#160;he’s&#160;also stepping into&#160;a very different&#160;ecosystemthan the one Cook spent decades shaping. The App Store’s 30% cut is under pressure, the behind-the-scenes power Apple once [&#8230;]",https://techcrunch.com/video/tim-cook-is-stepping-down-what-happens-to-apple-now,techcrunch.com,tim cook is stepping down what happens apple now,tim cook is stepping down what happens apple now tim cook plans step down from his ceo role september handing reins hardware chief john ternus ternus may be inheriting one most durable businesses tech but 160 he s 160 also stepping into 160 very different 160 ecosystemthan one cook spent decades shaping app store s 30 cut is under pressure behind scenes power apple once 8230,0.55,769,[],[],1.55,,True,UX
rss-techcrunch-fintech-3,"Collide Capital raises $95M fund to back fintech, future-of-work startups",https://techcrunch.com/2026/04/09/collide-capital-raises-95m-fund-to-back-fintech-future-of-work-startups/,TechCrunch Fintech,2026-04-09,"Collide Capital, founded by Brian Hollins and Aaron Samuels, announced the close of a $95 million Fund II.","Collide Capital, founded by Brian Hollins and Aaron Samuels, announced the close of a $95 million Fund II.",https://techcrunch.com/2026/04/09/collide-capital-raises-95m-fund-to-back-fintech-future-of-work-startups,techcrunch.com,collide capital raises 95m fund back fintech future work startups,collide capital raises 95m fund back fintech future work startups collide capital founded brian hollins aaron samuels announced close 95 million fund ii,0.55,213,"['ai', 'fintech']",[],2.65,,True,fraud_risk
rss-techcrunch-fintech-4,Money transfer app Duc exposed thousands of driver’s licenses and passports to the open web,https://techcrunch.com/2026/04/02/canadian-money-transfer-app-duc-expose-drivers-licenses-passports-amazon-server/,TechCrunch Fintech,2026-04-02,An exposed Amazon-hosted server allowed anyone to access reams of customer data without needing a password.,An exposed Amazon-hosted server allowed anyone to access reams of customer data without needing a password.,https://techcrunch.com/2026/04/02/canadian-money-transfer-app-duc-expose-drivers-licenses-passports-amazon-server,techcrunch.com,money transfer app duc exposed thousands driver s licenses passports open web,money transfer app duc exposed thousands driver s licenses passports open web exposed amazon hosted server allowed anyone access reams customer data without needing password,0.55,215,[],[],1.55,,True,UX
rss-techcrunch-fintech-5,Polymarket continues its partnership spree with a Major League Baseball deal,https://techcrunch.com/2026/03/19/polymarket-continues-its-partnership-spree-with-a-major-league-baseball-deal/,TechCrunch Fintech,2026-03-19,MLB is only the latest in a string of recently announced partnerships involving the prediction market.,MLB is only the latest in a string of recently announced partnerships involving the prediction market.,https://techcrunch.com/2026/03/19/polymarket-continues-its-partnership-spree-with-a-major-league-baseball-deal,techcrunch.com,polymarket continues its partnership spree major league baseball deal,polymarket continues its partnership spree major league baseball deal mlb is only latest string recently announced partnerships involving prediction market,0.55,205,[],[],1.55,,True,partnership
rss-techcrunch-fintech-6,"X taps William Shatner to give out invites to its payments service, X Money",https://techcrunch.com/2026/03/04/x-taps-william-shatner-to-give-out-invites-to-its-payments-service-x-money/,TechCrunch Fintech,2026-03-04,42 X users donated to William Shatner's charity in exchange for an early invite to X Money beta.,42 X users donated to William Shatner's charity in exchange for an early invite to X Money beta.,https://techcrunch.com/2026/03/04/x-taps-william-shatner-to-give-out-invites-to-its-payments-service-x-money,techcrunch.com,x taps william shatner give out invites its payments service x money,x taps william shatner give out invites its payments service x money 42 x users donated william shatner s charity exchange early invite x money beta,0.55,193,"['payment', 'payments']",[],2.65,,True,payments
rss-techcrunch-fintech-7,Data breach at fintech giant Figure affects close to a million customers,https://techcrunch.com/2026/02/18/data-breach-at-fintech-giant-figure-affects-close-to-a-million-customers/,TechCrunch Fintech,2026-02-18,"The Figure data breach allowed hackers to steal customer names, dates of birth, physical addresses, phone numbers, and email addresses.","The Figure data breach allowed hackers to steal customer names, dates of birth, physical addresses, phone numbers, and email addresses.",https://techcrunch.com/2026/02/18/data-breach-at-fintech-giant-figure-affects-close-to-a-million-customers,techcrunch.com,data breach at fintech giant figure affects close million customers,data breach at fintech giant figure affects close million customers figure data breach allowed hackers steal customer names dates birth physical addresses phone numbers email addresses,0.55,271,"['ai', 'fintech']",[],2.65,,True,fraud_risk
rss-techcrunch-fintech-8,"These 21-year-old dropouts raised $2M to build Givefront, a fintech for nonprofits",https://techcrunch.com/2025/12/18/these-21-year-old-dropouts-raised-2m-to-build-givefront-a-fintech-for-nonprofits/,TechCrunch Fintech,2025-12-18,"YC-backed Givefront is building a fintech designed specifically for nonprofits, including food banks, churches, and homeowner associations.","YC-backed Givefront is building a fintech designed specifically for nonprofits, including food banks, churches, and homeowner associations.",https://techcrunch.com/2025/12/18/these-21-year-old-dropouts-raised-2m-to-build-givefront-a-fintech-for-nonprofits,techcrunch.com,these 21 year old dropouts raised 2m build givefront fintech nonprofits,these 21 year old dropouts raised 2m build givefront fintech nonprofits yc backed givefront is building fintech designed specifically nonprofits including food banks churches homeowner associations,0.55,279,"['ai', 'bank', 'fintech']",[],3.2,,True,fraud_risk
rss-techcrunch-fintech-9,Fintech firm Marquis alerts dozens of US banks and credit unions of a data breach after ransomware attack,https://techcrunch.com/2025/12/03/fintech-firm-marquis-alerts-dozens-of-us-banks-and-credit-unions-of-a-data-breach-after-ransomware-attack/,TechCrunch Fintech,2025-12-03,"Marquis said ransomware hackers stole reams of banking customer data, containing personal information and financial records, as well as Social Security numbers, belonging to hundreds of thousands of people. The number of affected people is expected to rise.","Marquis said ransomware hackers stole reams of banking customer data, containing personal information and financial records, as well as Social Security numbers, belonging to hundreds of thousands of people. The number of affected people is expected to rise.",https://techcrunch.com/2025/12/03/fintech-firm-marquis-alerts-dozens-of-us-banks-and-credit-unions-of-a-data-breach-after-ransomware-attack,techcrunch.com,fintech firm marquis alerts dozens us banks credit unions data breach after ransomware attack,fintech firm marquis alerts dozens us banks credit unions data breach after ransomware attack marquis said ransomware hackers stole reams banking customer data containing personal information financial records as well as social security numbers belonging hundreds thousands people number affected people is expected rise,0.55,515,"['ai', 'bank', 'banking', 'credit', 'fintech']",[],4.3,,True,fraud_risk
rss-techcrunch-fintech-10,Pine Labs gets warm market welcome on $440M India IPO despite a valuation trim,https://techcrunch.com/2025/11/14/pine-labs-gets-warm-market-welcome-on-440m-india-ipo-despite-a-valuation-trim/,TechCrunch Fintech,2025-11-14,"Pine Labs, backed by PayPal and Mastercard, gained 14% on its market debut.","Pine Labs, backed by PayPal and Mastercard, gained 14% on its market debut.",https://techcrunch.com/2025/11/14/pine-labs-gets-warm-market-welcome-on-440m-india-ipo-despite-a-valuation-trim,techcrunch.com,pine labs gets warm market welcome 440m india ipo despite valuation trim,pine labs gets warm market welcome 440m india ipo despite valuation trim pine labs backed paypal mastercard gained 14 its market debut,0.55,151,"['ai', 'card']",[],2.65,,True,market_signal
rss-techcrunch-fintech-11,Venmo launches cash back rewards program for debit cards,https://techcrunch.com/2025/11/10/venmo-launches-cash-back-rewards-program-for-debit-cards/,TechCrunch Fintech,2025-11-10,"Venmo launches a cash back program for debit card users, as credit card use declines among Gen Z.","Venmo launches a cash back program for debit card users, as credit card use declines among Gen Z.",https://techcrunch.com/2025/11/10/venmo-launches-cash-back-rewards-program-for-debit-cards,techcrunch.com,venmo launches cash back rewards program debit cards,venmo launches cash back rewards program debit cards venmo launches cash back program debit card users as credit card use declines among gen z,0.55,195,"['card', 'credit', 'debit']",[],3.2,,True,banking_product
rss-techcrunch-fintech-12,"With its latest acqui-hire, OpenAI is doubling down on personalized consumer AI",https://techcrunch.com/2025/10/03/with-its-latest-acqui-hire-openai-is-doubling-down-on-personalized-consumer-ai/,TechCrunch Fintech,2025-10-03,"OpenAI is acquiring the CEO of Roi, an AI financial companion. Roi will sunset its service as its talent heads to OpenAI, ostensibly to help boost revenue in consumer apps.","OpenAI is acquiring the CEO of Roi, an AI financial companion. Roi will sunset its service as its talent heads to OpenAI, ostensibly to help boost revenue in consumer apps.",https://techcrunch.com/2025/10/03/with-its-latest-acqui-hire-openai-is-doubling-down-on-personalized-consumer-ai,techcrunch.com,its latest acqui hire openai is doubling down personalized consumer ai,its latest acqui hire openai is doubling down personalized consumer ai openai is acquiring ceo roi ai financial companion roi will sunset its service as its talent heads openai ostensibly help boost revenue consumer apps,0.55,345,['ai'],[],2.1,,True,fraud_risk
rss-techcrunch-fintech-13,Numeral raises $35M to automate sales tax with AI,https://techcrunch.com/2025/09/18/numeral-raises-35m-to-automate-sales-tax-with-ai/,TechCrunch Fintech,2025-09-18,The two-year-old sales tax startup Numeral is now valued at $350 million.,The two-year-old sales tax startup Numeral is now valued at $350 million.,https://techcrunch.com/2025/09/18/numeral-raises-35m-to-automate-sales-tax-with-ai,techcrunch.com,numeral raises 35m automate sales tax ai,numeral raises 35m automate sales tax ai two year old sales tax startup numeral is now valued at 350 million,0.55,147,['ai'],[],2.1,,True,fraud_risk
rss-techcrunch-fintech-14,Karat Financial is bringing business banking to creators,https://techcrunch.com/2025/05/28/karat-financial-is-bringing-business-banking-to-creators/,TechCrunch Fintech,2025-05-28,"Karat Financial, the company known for its credit cards for creators, is launching a creator-focused business banking product.","Karat Financial, the company known for its credit cards for creators, is launching a creator-focused business banking product.",https://techcrunch.com/2025/05/28/karat-financial-is-bringing-business-banking-to-creators,techcrunch.com,karat financial is bringing business banking creators,karat financial is bringing business banking creators karat financial company known its credit cards creators is launching creator focused business banking product,0.55,253,"['bank', 'banking', 'card', 'credit']",[],3.75,,True,banking_product
rss-techcrunch-fintech-15,"Brex partners with former competitor Zip, with an eye on reducing cash burn to get to an IPO",https://techcrunch.com/2025/05/20/brex-partners-with-former-competitor-zip-with-an-eye-on-reducing-cash-burn-to-get-to-an-ipo/,TechCrunch Fintech,2025-05-20,"Brex has once again made the surprising, but perhaps realistic, decision to partner with another one-time competitor. This time Zip, the CEOs of both companies told TechCrunch exclusively.&#160; In April 2022, fintech Brex announced it was making “a big push” into both the enterprise and software. The news was notable considering that Brex originally was [&#8230;]","Brex has once again made the surprising, but perhaps realistic, decision to partner with another one-time competitor. This time Zip, the CEOs of both companies told TechCrunch exclusively.&#160; In April 2022, fintech Brex announced it was making “a big push” into both the enterprise and software. The news was notable considering that Brex originally was [&#8230;]",https://techcrunch.com/2025/05/20/brex-partners-with-former-competitor-zip-with-an-eye-on-reducing-cash-burn-to-get-to-an-ipo,techcrunch.com,brex partners former competitor zip eye reducing cash burn get ipo,brex partners former competitor zip eye reducing cash burn get ipo brex has once again made surprising but perhaps realistic decision partner another one time competitor this time zip ceos both companies told techcrunch exclusively 160 april 2022 fintech brex announced it was making big push into both enterprise software news was notable considering that brex originally was 8230,0.55,733,"['ai', 'fintech']",[],2.65,,True,partnership
